Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PlugType,Seats,PriceEuro
Audi ,Q4 Sportback e-tron 35,9,160,295,175,410,Yes,Type 2 CCS,4,43900
Ford ,Ford Mustang Mach-E SR AWD,6.3,180,330,206,360,Yes,Type 2 CCS,4,54000
Nissan ,Nissan Ariya 63kWh,7.5,160,335,188,450,Yes,Type 2 CCS,4,45000
CUPRA ,CUPRA Born 170 kW - 62 kWh,6.6,160,345,168,430,Yes,Type 2 CCS,4,39000
JAC,JAC iEV7s,12,132,225,173,160,Yes,Type 2 CCS,4,32210
Toyota,PROACE Verso M 75 kWh ,13.1,130,270,252,290,Yes,Type 2 CCS,7,58995
Peugeot ,Peugeot e-Rifter Standard 50 kWh,11.7,135,200,225,270,Yes,Type 2 CCS,4,37590
Opel ,Zafira-e Life L 75 kWh,13.3,130,270,252,290,No,Type 2 CCS,7,60625
Citroen ,Citroen e-SpaceTourer XL 75 kWh,13.3,130,270,252,290,Yes,Type 2 CCS,7,58230
Peugeot ,Peugeot e-Traveller Standard 50 kWh,13.1,130,185,243,250,Yes,Type 2 CCS,7,55900
Porsche ,Porsche Taycan 4S Cross Turismo,4.1,240,405,207,850,Yes,Type 2 CCS,4,111842
Smart EQ ,Smart EQ fortwo cabrio,11.9,130,95,176,170,No,Type 2 CCS,2,21720
Peugeot ,Peugeot e-Traveller Compact 50 kWh,12.1,130,185,243,250,Yes,Type 2 CCS,7,50880
Renault ,Renault Zoe R135,9.5,140,310,168,110,Yes,Type 2 CCS,5,28795
Aiways ,Aiways U5 Premium,7.8,150,400,167,190,Yes,Type 2 CCS,5,37990
Audi , Audi e-tron S quattro,5.1,210,364,267,150,Yes,Type 2 CCS,5,52900
Audi , Q4 e-tron 50 quattro S Competion,6.2,180,488,180,162,Yes,Type 2 CCS,5,60631
